W4 — AI Q&A System: Retrieval → Tools → Memory  |  Deadline: Thứ Sáu 09/05/2026,,,,,,,,,,,,,,,
Assign →,,,,,D.Khánh,Kiên,Chinh,Tấn,Đức,Long,Quyên,Định,,,
#,Việc Cần Làm,Nhóm,Ưu Tiên,Trạng Thái,✓,✓,✓,✓,✓,✓,✓,✓,Bắt Đầu,Deadline,Ghi Chú
NGÀY 1 — THỨ BA 06/05: KHÁM PHÁ DATA & CHUẨN BỊ,,,,,,,,,,,,,,,
1,Đọc 36 markdown docs trong knowledge_base/,Knowledge Base,Cao,In Progress,✓,✓,✓,✓,✓,✓,✓,✓,06/05,06/05,https://docs.google.com/document/d/1E4vFopC55R8cu5FCcbhg4b6JZI_LcxfU4DfRJXLTxJI/edit?usp=sharing
2,Chạy monitoring API local (uvicorn port 8000),Backend,Cao,Not Started,▼,▼,✓,▼,▼,▼,▼,▼,06/05,06/05,cd data_package/scripts → uv sync → uv run uvicorn
3,"Hit tất cả API endpoints, ghi lại data CHỈ từ API",Backend,Cao,Not Started,▼,▼,✓,▼,▼,▼,▼,▼,06/05,06/05,"/services, /status, /metrics, /incidents. NotificationSvc degraded!"
4,Chạy seed_data.py → load CSV vào SQLite,Database,Cao,Not Started,▼,▼,✓,▼,▼,▼,▼,▼,06/05,06/05,uv run python seed_data.py --db-type sqlite → verify 36 rows
5,"Query thử DB: PaymentGW Q1=$16500, SLA targets",Database,Cao,Not Started,▼,▼,▼,▼,✓,✓,✓,✓,06/05,06/05,"T3=$7500, NotificationSvc latency target=2000ms"
6,Sketch kiến trúc hệ thống → cả nhóm đồng ý,Architecture,Cao,Not Started,✓,✓,✓,✓,✓,✓,✓,✓,06/05,06/05,"S3→KB→LLM, tools→DB/API, memory. Thống nhất trước khi code"
7,Tạo S3 bucket + upload 36 markdown files,Cloud / S3,Cao,Not Started,▼,▼,✓,▼,▼,✓,▼,▼,06/05,06/05,geekbrain-kb-{nhom}. Chuẩn bị cho thứ Năm tạo Bedrock KB
NGÀY 2 — THỨ NĂM 08/05: BUILD L1 → L2 → L3,,,,,,,,,,,,,,,
8,Tạo Bedrock Knowledge Base trỏ vào S3,AI / RAG,Cao,Not Started,▼,▼,✓,▼,▼,▼,✓,▼,08/05,08/05,"Titan Embeddings v2, OpenSearch Serverless. Sync + verify"
9,Test Retrieve API — verify chunks đúng,AI / RAG,Cao,Not Started,✓,▼,✓,▼,▼,✓,▼,▼,08/05,08/05,"""Team Platform lead"" → team_platform.md → Alex Chen"
10,Viết system prompt L1 + kết nối Claude Bedrock,AI / Prompt,Cao,Not Started,▼,▼,▼,✓,▼,✓,▼,▼,08/05,08/05,"""Answer using only provided context. Cite source document."""
11,✅ L1 CHECKPOINT: 3 câu test đúng + citation,AI / RAG,Cao,Not Started,✓,▼,✓,▼,▼,▼,▼,✓,08/05,08/05,Alex Chen ✓ | Deploy freeze ✓ | Auth ✓ → MỤC TIÊU 12:00
12,L2: Tăng retrieval K lên 8-10 chunks,AI / RAG,Cao,Not Started,▼,▼,▼,✓,▼,▼,▼,✓,08/05,08/05,Multi-doc coverage + conflict resolution
13,L2: Cải thiện prompt xử lý conflict,AI / Prompt,Cao,Not Started,▼,✓,▼,✓,▼,▼,▼,▼,08/05,08/05,"""Check dates, versions, prefer recent, explain conflict"""
14,"✅ L2 CHECKPOINT: Rate limit→1000, ack v1=500",AI / RAG,Cao,Not Started,▼,✓,✓,✓,▼,▼,▼,✓,08/05,08/05,"Multi-doc: ""Deploy Friday night?"" → MỤC TIÊU 15:00"
